
//nhilanth/nil_win.wav
//nhilanth/nil_done.wav
//nhilanth/nil_thelast.wav
//nhilanth/nil_die.wav



//버그나 기타 의견 리포트는, 그리고 다운로드는 toxagen5@hotmail.com (chat only)나 irc #map 및 #modmaker 또는 #kgda 체널에서 받아서 할수 있습니다.


//LK01_SC_HELLO2 이상물질 오셧. 기억나는군요


//07.07~08.01 라디에이션 스투디오 파이널 버전 패치.


//공지//

//<< 읽어주세요!! >> :: 맵 테스트를 하면서 몇몇 (예를들어 다수의 몬스터가 얽힌 교전이나 특정 상황에서 몬스터 생성시) 돌발 상황에 엔진 클라이언트에서 오류를 종종 일으킨바 있습니다.

//따라서 본 프로그램이 설치되어짐으로서 빚어지는 자료 손실등과 같은 사항에 대하여 radiation- studios는 귀하의 하드웨어에 설치를 권장하지 않습니다.




//현제 거의 모든 돌발상황을 제거한바 있지만 아래 보고된 맵에서는 돌발행동 자제를 당부합니다.

//pk03.bsp

//pk04.bsp


//LK01_BA_HURRY
//이리로 들어와요 빨리!


//좀 큰 표본실 위에 어쌔신 결박당한채 놓여짐 (남1여2)머리에 기생
//LK01_SC_WARNED1 (박사2)
//이사람들은 경고를 무시했을까
//LK01_SC_WARNED2 (박사3)
//우리가 경고를 했는데도 말이야.

//SC_QUESTION15
//이 게과 생명체들은 독특한 기생

//SC_QUESTION18
//정말 모든 생명체들이 우릴 잡아먹으려 왔다고 주장하는

//불스퀴드 대형 우리로 감. 예의상 퀴드 한번 유리쪽으로 쏴줌. 그럼에도 박사 문 비밀번호 댐.

//BA_SHOT3
//뭘하려는거야?

//(불스퀴드등장)
//SC_QUESTION22
//외계인 모두가 적대적인건 아닐거야

//SC_PQUEST15
//배고픈사람?(불스퀴드 밥주고)

//BA_ANSWER7
//내게 묻지마셔.

//LK01_SC_USSEE
//자네가 봐야할게 있어.

//연구돔 진입_박사랑 슬레이브랑 대화중 (박사 한명은 주저앉음. dk01처럼)

//SC_IDLE0
//난 이모든걸 예상했었어

//SC_QUESTION6
//분명히 누군가 와서 구해주겠지

//SC_QUESTION9(박사2)
//우리 운도 바뀔거 같지 않나

//SC_ANSWER8
//물론이지

//SC_IDLE12 
//람다 사람들이 이 모든걸 통제할수 있길 바라네(박사2)

//다시 표본실로

//SC_NOGO 
//그쪽으로 가지마

//SC_PLFEAR0
//세상에 자네 뭐하고 있는거야

//LK01_SC_ALLDIE
//맙소사 우리 모두 죽었어.

//LK01_BA_GLOCK
//내가 낡은무기라도 가지고 있어서 다행

//LK01_BA_STAY
//난 여기 남겠소 수상한게 나오면 쏠것이오


OK01_SC_WHOARE scientist/whoareyou
ED1 security clear, proceed
ED2 security lockout, released
ED3 secure override accepted
ED4 security access acknowledged
ED5 security system disengaged
ED6 door security disengaged

// blast doors
NF0 emergency blast door activated
NF1 emergency blast shield activated
NF3 the blast containment shield is down
EF0 emergency blast door, open
EF1 emergency blast shield, deactivated
EF3 blast containment shield is, open

// fire door
NFIRE0 fire containment door is down
EFIRE0 fire containment door, open

// chemical door
NCHEM0 chemical leak containment door activated
ECHEM0 chemical leak containment door, open

// radiation door
NRAD0 radiation containment door activated
ERAD0 radiation containment door, open

// generic containment door
NCON0 emergency containment door engaged
ECON0 emergency containment door disengaged

// broken locked door
NG0 sorry, this door is inoperative
NG1 sorry, door out of service
NG2 door damage detected, please call service personnel

// maintenance door
NH0 no access, maintenance area
NH1 no personnel permitted in maintenance area
EH0 maintenance area access granted
EH1 maintenance area door open

// turrets, defensive systems

T0 extreme hazard, defense system is armed in this zone
T1 hazard area, defense system activated
T2 danger, turret perimeter defense system armed
T3 extreme hazard, nearest defense system engaged
T4 danger, base defense turret system may power up
T5 danger, automatic defense system activated

// warnings

WE0 warning, high voltage cable
WE1 warning, high power cable
WE2 warning, electric shock hazard
WE3 warning, severe electric shock hazard

// danger

DR0 danger, radiation leak detected
DR1 danger, radiation hazard detected
DR2 danger, high radiation level detected
DR3 danger, severe radiation hazard, evacuate area immediately
DR4 danger, safety violation, extreme radiation level detected

DC0 danger, chemical leak, area now a high health hazard
DC1 danger, chemical coolant leak, health hazard zone
DC2 danger, chemical containment breach, all personnel evacuate this area
DC3 danger, supercooled chemical leak
DC4 danger, supercooled helium leak

DB0 danger, liquid biohazard leak in immediate area
DB1 danger, coolant leak, severe biohazard now in this area
DB2 danger, liquid biohazard released, evacuate area
DB3 danger, biohazard detected in immediate area

// training room

TR_A three, two, one, deeoo(p110)
TR_B deeoo(p110) (p102 t20) target system deactivated

// HEV Suit
HEV_AAx fvox/bell
HEV_A0 fvox/bell
HEV_A1 fvox/blip
HEV_A2 fvox/blip
HEV_A3 fvox/blip
HEV_A4 fvox/blip
HEV_A5 fvox/blip
HEV_A6 fvox/blip
HEV_A7 fvox/blip
HEV_A8 fvox/blip
HEV_A9 fvox/fuzz
HEV_A10 fvox/fuzz

// medical
HEV_DEAD0 fvox/beep beep, beep beep, beep, beep, flatline
HEV_MED0 fvox/boop
HEV_HEAL0 fvox/boop
HEV_DMG0 fvox/boop
HEV_HLTH0 fvox/beep
HEV_SHOCK fvox/boop
HEV_FIRE fvox/boop
// items
HEV_AIM_ON fvox/blip
HEV_AIM_OFF fvox/blip
HEV_BATTERY fvox/blip
HEV_MEDKIT fvox/blip
HEV_PISTOL fvox/blip
HEV_SHOTGUN fvox/blip
HEV_GRENADE fvox/blip
HEV_ASSAULT fvox/blip
HEV_44PISTOL fvox/blip
HEV_RPG fvox/blip
HEV_SATCHEL fvox/blip
HEV_TRIPMINE fvox/blip
HEV_HORNET fvox/blip
HEV_SQUEEK fvox/blip
HEV_EGON fvox/blip
HEV_GAUSS fvox/blip
HEV_XBOW fvox/blip
HEV_9MM fvox/blip
HEV_44AMMO fvox/blip
HEV_BUCKSHOT fvox/blip
HEV_BOLTS fvox/blip
HEV_RPGAMMO fvox/blip
HEV_AGRENADE fvox/blip
HEV_EGONPOWER fvox/blip
HEV_D00 fvox/fuzz
HEV_D01 fvox/fuzz
HEV_0P fvox/fuzz
HEV_1P fvox/fuzz
HEV_2P fvox/fuzz
HEV_3P fvox/fuzz
HEV_4P fvox/fuzz
HEV_5P fvox/fuzz
HEV_6P fvox/fuzz
HEV_7P fvox/fuzz
HEV_8P fvox/fuzz
HEV_9P fvox/fuzz
HEV_10P fvox/fuzz
HEV_11P fvox/fuzz
HEV_12P fvox/fuzz
HEV_13P fvox/fuzz
HEV_14P fvox/fuzz
HEV_15P fvox/fuzz
HEV_16P fvox/fuzz
HEV_17P fvox/fuzz
HEV_18P fvox/fuzz
HEV_19P fvox/fuzz

// weapon/ammo

HEV_AMO0 fvox/blip
// suit

HEV_V0 fvox/blip
HEV_V1 fvox/blip
HEV_E0 fvox/buzz
HEV_E1 fvox/buzz
HEV_E2 fvox/buzz
HEV_E3 fvox/buzz
HEV_E4 fvox/buzz
HEV_E5 fvox/buzz
// time remaining countdown

//HEV_F10t fvox/bell
//HEV_F15t fvox/bell
//HEV_F20t fvox/bell
//HEV_F30t fvox/bell
HEV_DET0 fvox/blip blip blip
HEV_DET1 fvox/blip blip blip
HEV_DET2 fvox/blip blip blip
HEV_DET3 fvox/blip blip blip
HEV_DET4 fvox/blip blip blip
HEV_DET5 fvox/blip blip blip

BA_INTROA_SPK1 barney/s02ba_hello
BA_INTROB_SPK1 barney/ba_security2_desk0
BA_INTROB_SPK2 barney/s02ba_pl_door
BA_SEC1_D1 barney/ba_security1_door1
BA_SEC1_D2 barney/ba_security1_door2
BA_EHEADDOWN barney/sk02_ba_headdown
BA_SEC1_N1 barney/ba_security2_range2

BA_OK0 barney/teamup2
BA_OK1 barney/dobettertogether
BA_OK2 barney/imwithyou
BA_OK3 barney/teamup1
BA_OK4 barney/gladtolendhand
BA_OK5 barney/letsgo
BA_OK6 barney/letsmoveit

BA_WAIT0 barney/helpothers
BA_WAIT1 barney/iwaithere
BA_WAIT2 barney/slowingyoudown
BA_WAIT3 barney/illwait
BA_WAIT4 barney/seeya
BA_WAIT5 barney/standguard

BA_HELLO0 barney/hellonicesuit
BA_HELLO1 barney/howyoudoing
BA_HELLO2 barney/hayfella
BA_HELLO3 barney/sir

BA_POK0 barney/ba_post
BA_POK1 barney/ba_duty
BA_POK2 barney/ba_later

BA_QUESTION0 barney/beertopside
BA_QUESTION1 barney/getanyworse
BA_QUESTION2 barney/workingonstuff
BA_QUESTION3 barney/whatsgoingon
BA_QUESTION4 barney/aintscared
BA_QUESTION5 barney/nodrill
BA_QUESTION6 barney/crewdied
BA_QUESTION7 barney/somethingmoves
BA_QUESTION8 barney/thinking
BA_QUESTION9 barney/missingleg

BA_ANSWER0 barney/noway
BA_ANSWER1 barney/ireckon
BA_ANSWER2 barney/soundsright
BA_ANSWER3 barney/yessir
BA_ANSWER4 barney/youbet
BA_ANSWER5 barney/yougotit
BA_ANSWER6 barney/yup
BA_ANSWER7 barney/dontaskme
BA_ANSWER8 barney/dontbet
BA_ANSWER9 barney/dontbuyit
BA_ANSWER10 barney/dontfigure
BA_ANSWER11 barney/dontguess
BA_ANSWER12 barney/hardtosay
BA_ANSWER13 barney/justdontknow
BA_ANSWER14 barney/nope
BA_ANSWER15 barney/nosir
BA_ANSWER16 barney/cantfigure
BA_ANSWER17 barney/maybe
BA_ANSWER18 barney/notelling
BA_ANSWER19 barney/bequiet
BA_ANSWER20 barney/youtalkmuch
BA_ANSWER21 barney/alreadyasked

// player is staring at scientist
BA_STARE0 barney/yup
BA_STARE1 barney/yessir
BA_STARE2 barney/howyoudoing
BA_STARE3 barney/heyfella

BA_IDLE0 barney/whatisthat
BA_IDLE1 barney/coldone
BA_IDLE2 barney/guyresponsible
BA_IDLE3 barney/bigmess
BA_IDLE4 barney/luckwillturn
BA_IDLE5 barney/bigplace
BA_IDLE6 barney/targetpractice
BA_IDLE7 barney/badfeeling
BA_IDLE8 barney/ambush
BA_IDLE9 barney/survive
BA_IDLE10 barney/stophere

BA_ATTACK0 barney/standback
BA_ATTACK1 barney/whatisthat
BA_ATTACK2 barney/diebloodsucker
BA_ATTACK3 barney/aimforhead

BA_HEAR0 barney/hearsomething
BA_HEAR1 barney/icanhear
BA_HEAR2 barney/soundsbad

BA_SMELL0 barney/somethingdied
BA_SMELL1 barney/somethingstinky
BA_SMELL2 barney/stench

BA_CUREA barney/checkwounds
BA_CUREB barney/youneedmedic
BA_CUREC barney/realbadwound

BA_SCARED0 barney/donthurtem
BA_SCARED1 barney/leavealone

BA_WOUND0 barney/imhit
BA_WOUND1 barney/hitbad
BA_MORTAL0 barney/imdead

//If you shoot Barney:
BA_SHOT1 barney/ba_dotoyou
BA_SHOT2 barney/ba_watchit
BA_SHOT3 barney/ba_whatyou
BA_SHOT4 barney/ba_friends

//When Barney really pissed at you:
BA_MAD0 barney/ba_stepoff
BA_MAD1 barney/ba_iwish
BA_MAD2 barney/ba_uwish
BA_MAD3 barney/ba_somuch
BA_MAD4 barney/ba_endline
BA_MAD5 barney/ba_dontmake
BA_MAD6 barney/ba_tomb
BA_MAD7 barney/easily

BA_KILL0 barney/ba_gotone
BA_KILL1 barney/ba_another
BA_KILL2 barney/ba_buttugly
BA_KILL3 barney/ba_seethat
BA_KILL4 barney/ba_close
BA_KILL5 barney/ba_firepl
BA_KILL6 barney/ba_bring

BA_LATE barney/c1a0_ba_late
BA_HEADDOWN barney/c1a0_ba_headdown
BA_DESK barney/c1a0_ba_desk
BA_BUTTON barney/c1a0_ba_button
BA_HEVNO barney/c1a0_ba_hevno
BA_HEVYES barney/c1a0_ba_hevyes

// if barney can't follow you
BA_STOP0 barney/stop1
BA_STOP1 barney/stop2

//If you use Barney in Hazard Course
BA_HAZ_OK0 holo/tr_ba_use
BA_HAZ_WAIT0 holo/tr_ba_unuse
BA_LIGHTSON holo/tr_ba_lightson

//c1a0 scripts
BA_LATE barney/c1a0_ba_late
BA_HEADDOWN barney/c1a0_ba_headdown
BA_DESK barney/c1a0_ba_desk
BA_BUTTON barney/c1a0_ba_button
BA_HEVNO barney/c1a0_ba_hevno
BA_HEVYES barney/c1a0_ba_hevyes

//c1a1 scripts
BA_GLAD barney/c1a1_ba_glad

//c1a2 scripts
BA_ZOMBIE2 barney/c1a2_ba_2zomb
BA_ZOMBIE4 barney/c1a2_ba_4zomb
BA_CLIMB barney/c1a2_ba_climb
BA_SLEW barney/c1a2_ba_slew
BA_SURFACE barney/c1a2_ba_surface
BA_TOPSIDE barney/c1a2_ba_top

//c1a4 scripts
BA_WHISPER barney/c1a4_ba_wisp
BA_TENTACLE barney/c1a4_ba_octo1

//c2a5 scripts
BA_LETMEOUT barney/c2a5_ba_letout
BA_RPG barney/c2a5_ba_rpg
BA_HELPME barney/c2a5_ba_helpme

BA_SNIPED barney/c2a5_ba_sniped

SC_CLAM0 scientist/sc_crazer
SC_CLAM1 scientist/leavingme
SC_CLAM2 scientist/letstrythis
SC_CLAM3 scientist/shutup2
SC_FCANSPK scientist/sc_maint
SC_ELESPK scientist/of3a2_sc01
SC_LATESPK scientist/sc_accident1
SC_TESTSPK scientist/sc_accident2
SC_PONTSPK scientist/sc_accident3
SC_NSCANSPK scientist/c2a4_sci_scanner
SC_WONTOUTSPK scientist/c1a4_sci_gener
SC_DOUTSPK scientist/c2a4_sci_letout
SC_A01A_MUSESPK scientist/canttakemore
SC_A01A_SUSESPK scientist/c3a1_sci_2sat
BA_RANGE barney/ba_security2_range2
SC_ERESCUE scientist/of3a4_sc02
SC_FRESCUE scientist/sc_helloh
SC_DOUBT scientist/nodoubt

//soldiers
AK02N_SC_STEAM scientist/c1a3_sci_team
SC_GETOUTHERE scientist/okgetout
SC_FELEVATOR scientist/c1a2_sci_transm
SC_NOIDEA scientist/noidea
WK02F_SCI_SPK0 scientist/c1a2_sci_elevator
AK02J_SCI_SPK0 scientist/c1a3_sci_rescued
AK02J_SCI_SPK1 scientist/of2a3_sc01
AK02J_SCI_SPK2 scientist/c1a2_sci_transm
AK02J_SCI_SPK3 scientist/c1a2_sci_darkroom
ZK03D_SCI_SPK0 scientist/c1a4_sci_trust
OK03X_BA_SPK0 barney/ok03x_ba_topside
BA_LAB_LATE barney/ba_late
BA_SUITNO barney/c1a0_ba_hevno
BA_SUITYES barney/c1a0_ba_hevyes
OT_CARDYES otis/of1a1_ot2
OT_CARDNO otis/of1a1_ot0
SC_SEC2_ADMIN1 scientist/sc_sec2_admin1
SC_SEC2_ADMIN2 scientist/sc_sec2_admin2
BA_SEC02_ADMIN barney/ba_security2_admin
SC_SEC2_SIT0 scientist/c1a0_sci_itsyou

// SCIENTIST

SC_OK0 scientist/excellentteam
SC_OK1 scientist/fellowscientist
SC_OK2 scientist/fine
SC_OK3 scientist/hopeyouknow
SC_OK4 scientist/leadtheway
SC_OK5 scientist/letsgo
SC_OK6 scientist/yesletsgo
SC_OK7 scientist/yes3
SC_OK8 scientist/alright

SC_WAIT0 scientist/beenaburden
SC_WAIT1 scientist/slowingyou
SC_WAIT2 scientist/reconsider
SC_WAIT3 scientist/whyleavehere
SC_WAIT4 scientist/illwaithere
SC_WAIT5 scientist/istay
SC_WAIT6 scientist/illwait

// fail to follow player any more
SC_STOP0 scientist/stop1
SC_STOP1 scientist/stop2
SC_STOP2 scientist/stop3
SC_STOP3 scientist/stop4

// player is staring at scientist
SC_STARE0 scientist/yees
SC_STARE1 scientist/areyouthink
SC_STARE2 scientist/noidea

SC_HELLO0 scientist/hellothere
SC_HELLO1 scientist/afellowsci
SC_HELLO2 scientist/greetings2
SC_HELLO3 scientist/hello
SC_HELLO4 scientist/goodtoseeyou

SC_ANSWER0 scientist/notsure
SC_ANSWER1 scientist/notcertain
SC_ANSWER2 scientist/perhaps
SC_ANSWER3 scientist/whocansay
SC_ANSWER4 scientist/inconclusive
SC_ANSWER5 scientist/theoretically
SC_ANSWER6 scientist/whyaskme
SC_ANSWER7 scientist/lowervoice
SC_ANSWER8 scientist/ofcourse
SC_ANSWER9 scientist/absolutely
SC_ANSWER10 scientist/yes
SC_ANSWER11 scientist/ibelieveso
SC_ANSWER12 scientist/right
SC_ANSWER13 scientist/imsure
SC_ANSWER14 scientist/positively
SC_ANSWER15 scientist/nodoubt
SC_ANSWER16 scientist/yees
SC_ANSWER17 scientist/ofcoursenot
SC_ANSWER18 scientist/absolutelynot
SC_ANSWER19 scientist/noo
SC_ANSWER20 scientist/idontthinkso
SC_ANSWER21 scientist/completelywrong
SC_ANSWER22 scientist/cantbeserious
SC_ANSWER23 scientist/dontknow
SC_ANSWER24 scientist/ridiculous
SC_ANSWER25 scientist/shutup
SC_ANSWER26 scientist/noguess
SC_ANSWER27 scientist/stopasking
SC_ANSWER28 scientist/justasked
SC_ANSWER29 scientist/repeat

SC_QUESTION0 scientist/everseen
SC_QUESTION1 scientist/needsleep
SC_QUESTION2 scientist/areyouthink
SC_QUESTION3 scientist/evergetout
SC_QUESTION4 scientist/rightwayout
SC_QUESTION5 scientist/cantbeworse
SC_QUESTION6 scientist/rescueus
SC_QUESTION7 scientist/fascinating
SC_QUESTION8 scientist/stimulating
SC_QUESTION9 scientist/luckwillchange
SC_QUESTION10 scientist/hearsomething
SC_QUESTION11 scientist/doyousmell
SC_QUESTION12 scientist/uselessphd
SC_QUESTION13 scientist/waithere
SC_QUESTION14 scientist/survival
SC_QUESTION15 scientist/headcrab
SC_QUESTION16 scientist/goodpaper
SC_QUESTION17 scientist/catchone
SC_QUESTION18 scientist/dinner
SC_QUESTION19 scientist/alientrick
SC_QUESTION20 scientist/alienappeal
SC_QUESTION21 scientist/rumorclean
SC_QUESTION22 scientist/nothostile
SC_QUESTION23 scientist/announcer
SC_QUESTION24 scientist/smellburn
SC_QUESTION25 scientist/noidea
SC_QUESTION26 scientist/whatnext

SC_IDLE0 scientist/ipredictedthis
SC_IDLE1 scientist/containfail
SC_IDLE2 scientist/chaostheory
SC_IDLE3 scientist/howinteresting
SC_IDLE4 scientist/neverseen
SC_IDLE5 scientist/peculiarmarks
SC_IDLE6 scientist/whoresponsible
SC_IDLE7 scientist/nogrant
SC_IDLE8 scientist/bloodsample
SC_IDLE9 scientist/administrator
SC_IDLE10 scientist/improbable
SC_IDLE11 scientist/organicmatter
SC_IDLE12 scientist/lambdalab
SC_IDLE13 scientist/ihearsomething

SC_NOGO scientist/dontgothere
SC_MONST0 scientist/seeheadcrab
SC_MONST1 scientist/importantspecies
SC_HEAR0 scientist/ihearsomething
SC_HEAR1 scientist/didyouhear
SC_HEAR2 scientist/whatissound
SC_SMELL0 scientist/somethingfoul
SC_SMELL1 scientist/odorfromyou
SC_SMELL2 scientist/peculiarodor
SC_SMELL3 scientist/stench

SC_CRIT1A scientist/c1a0_sci_crit1a
SC_CRIT2A scientist/c1a0_sci_crit2a
SC_CRIT3A scientist/c1a0_sci_crit3a
SC_CTRL1A scientist/c1a0_sci_ctrl1a
SC_CTRL2A scientist/c1a0_sci_ctrl2a
SC_CTRL3A scientist/c1a0_sci_ctrl3a
SC_CTRL4A scientist/c1a0_sci_ctrl4a

SC_WOUND0 scientist/iwounded
SC_WOUND1 scientist/iwounded2
SC_MORTAL0 scientist/iwoundedbad
SC_MORTAL1 scientist/iwounded2
SC_CUREA scientist/youlookbad
SC_CUREB scientist/youwounded
SC_CUREC scientist/youneedmedic

SC_HEAL0 scientist/heal1
SC_HEAL1 scientist/heal2
SC_HEAL2 scientist/youneedmedic, letstrythis
SC_HEAL3 scientist/youlookbad, holdstill
SC_HEAL4 scientist/youwounded, letstrythis
SC_HEAL5 scientist/heal3
SC_HEAL6 scientist/heal4
SC_HEAL7 scientist/heal5

SC_PLFEAR0 scientist/whatyoudoing
SC_PLFEAR1 scientist/canttakemore
SC_PLFEAR2 scientist/madness
SC_PLFEAR3 scientist/noplease
SC_PLFEAR4 scientist/getoutofhere
SC_PLFEAR5 scientist/sorryimleaving
SC_FEAR0 scientist/nooo
SC_FEAR1 scientist/startle2
SC_FEAR2 scientist/startle1 noplease
SC_FEAR3 scientist/dontwantdie
SC_FEAR4 scientist/getoutalive
SC_FEAR5 scientist/startle3
SC_FEAR6 scientist/startle4
SC_FEAR7 scientist/startle5
SC_FEAR8 scientist/startle6
SC_FEAR9 scientist/startle7
SC_FEAR10 scientist/startle8
SC_FEAR11 scientist/startle9
SC_FEAR12 scientist/startle1
SC_SCREAM0 scientist/sci_fear1
SC_SCREAM1 scientist/sci_fear2
SC_SCREAM2 scientist/sci_fear3
SC_SCREAM3 scientist/sci_fear4
SC_SCREAM4 scientist/sci_fear5
SC_SCREAM5 scientist/sci_fear6
SC_SCREAM6 scientist/sci_fear7
SC_SCREAM7 scientist/sci_fear8
SC_SCREAM8 scientist/sci_fear9
SC_SCREAM9 scientist/sci_fear10
SC_SCREAM10 scientist/sci_fear11
SC_SCREAM11 scientist/sci_fear12
SC_SCREAM12 scientist/sci_fear13
SC_SCREAM13 scientist/sci_fear14
SC_SCREAM14 scientist/sci_fear15
SC_SCARED0 scientist/whatyoudoing
SC_SCARED1 scientist/stopattacking
SC_SCARED2 scientist/youinsane

SC_PHELLO0 scientist/hellothere
SC_PHELLO1 scientist/greetings2
SC_PHELLO2 scientist/goodtoseeyou
SC_PHELLO3 scientist/greetings
SC_PHELLO4 scientist/hello
SC_PQUEST0 scientist/beverage
SC_PQUEST1 scientist/statusreport
SC_PQUEST2 scientist/tunnelcalc
SC_PQUEST3 scientist/shakeunification
SC_PQUEST4 scientist/correcttheory
SC_PQUEST5 scientist/analysis
SC_PQUEST6 scientist/purereadings
SC_PQUEST7 scientist/newsample
SC_PQUEST8 scientist/perfectday
SC_PQUEST9 scientist/cascade
SC_PQUEST10 scientist/delayagain
SC_PQUEST11 scientist/softethics
SC_PQUEST12 scientist/tunedtoday
SC_PQUEST13 scientist/donuteater
SC_PQUEST14 scientist/seencup
SC_PQUEST15 scientist/hungryyet
SC_PQUEST16 scientist/recalculate
SC_PQUEST17 scientist/checkatten
SC_PIDLE0 scientist/hideglasses
SC_PIDLE1 scientist/weartie
SC_PIDLE2 scientist/runtest
SC_PIDLE3 scientist/limitsok
SC_PIDLE4 scientist/asexpected
SC_PIDLE5 scientist/thatsodd
SC_PIDLE6 scientist/allnominal
SC_PIDLE7 scientist/shutdownchart
SC_PIDLE8 scientist/reportflux
SC_PIDLE9 scientist/simulation
SC_PIDLE10 scientist/hopenominal
SC_HAZ_OK0 holo/tr_sci_use
SC_HAZ_WAIT0 holo/tr_sci_unuse
SC_POK0 scientist/sci_alone
SC_POK1 scientist/sci_bother
SC_POK2 scientist/sci_busy
SC_POK3 scientist/sci_aftertest
SC_POK4 scientist/sci_somewhere

SC_PORTOPEN scientist/sci_portopen
SC_SHAKEUNI scientist/shakeunification
SC_ESCREAM0 scientist/scream12
SC_ESCREAM1 scientist/scream22
SC_ESCREAM2 scientist/scream17
SC_ESCREAM3 scientist/scream05
SC_1MUMBLE scientist/c1a0_sci_mumble

// outdoor
WILD0 ambience/(v30) quail1(p103), quail1(t10), quail1(p101)
WILD1 ambience/bee1(v75)
WILD2 ambience/bee2(p105)
WILD3 ambience/hawk1(p98 v30)
WILD4 ambience/hawk1(p105 v20)
WILD5 ambience/(v50 p97) quail1, quail1(t15)
WILD6 ambience/bee1(p98 v50)
WILD7 ambience/bee1(p97)
WILD8 ambience/quail1(p98 v20)
WILD9 ambience/des_wind1(v40 p105)
WILD10 ambience/des_wind2(v40 p98)
WILD11 ambience/des_wind3(v40 p103)
WILD12 ambience/wren1(v80)

// rocket
ROCKET0 ambience/steamburst1
ROCKET1 ambience/steamburst1(p80)
ROCKET2 ambience/steamburst1(p120)
ROCKET3 ambience/rocket_groan1
ROCKET4 ambience/rocket_groan2
ROCKET5 ambience/rocket_groan3
ROCKET6 ambience/rocket_groan4

// distant war zone
FAR_WAR0 ambience/(v50) distantmortar1
FAR_WAR1 ambience/(v60) distantmortar2
FAR_WAR2 ambience/(v50) distantmortar3
FAR_WAR3 ambience/(v15) biggun3
FAR_WAR4 ambience/(v20) rifle2
FAR_WAR5 ambience/(v10 p120) jetflyby1
FAR_WAR6 ambience/(v10) mgun_burst4
FAR_WAR7 ambience/(v30) distantmortar1 distantmortar3 distantmortar2
FAR_WAR8 ambience/(v10) biggun2 biggun2 biggun2
FAR_WAR9 ambience/(v15) mgun_burst1
FAR_WAR10 ambience/(v20) biggun1 rifle2
FAR_WAR11 ambience/(v60) distantmortar1 distantmortar1, distantmortar2, distantmortar1
FAR_WAR12 ambience/(v30) distantmortar2, distantmortar2 distantmortar2 distantmortar2, distantmortar3 distantmortar1
FAR_WAR13 ambience/(v10) mgun_burst2
FAR_WAR14 ambience/(v15) mgun_burst3 mgun_burst3
FAR_WAR15 ambience/(v10) rifle1 rifle1
FAR_WAR16 ambience/(v10) biggun2, biggun2 biggun2

// near war zone
NEAR_WAR0 ambience/(v60) mgun_burst3 mgun_burst3 mgun_burst3(v50)
NEAR_WAR1 ambience/(v60) rifle1 rifle2 rifle2 rifle1 rifle1
NEAR_WAR2 ambience/(v60) alienflyby1
NEAR_WAR3 ambience/(v60) biggun3 biggun3 biggun3
NEAR_WAR4 ambience/(v60) mgun_burst4 mgun_burst3 rifle1 mgun_burst4
NEAR_WAR5 ambience/(v60) jetflyby1
NEAR_WAR6 ambience/(v60) mgun_burst4 mgun_burst3
NEAR_WAR7 ambience/distantmortar1 distantmortar3 distantmortar2
NEAR_WAR8 ambience/(v60) biggun2 biggun2 biggun2 biggun2(v30)
NEAR_WAR9 ambience/(v60) mgun_burst1 mgun_burst1 rifle2 mgun_burst3
NEAR_WAR10 agrunt/(v40) ag_fire1 ag_fire2 ag_fire2 ag_fire1
NEAR_WAR11 ambience/distantmortar1 distantmortar1, distantmortar2
NEAR_WAR12 ambience/(v60) mgun_burst2 mgun_burst2 mgun_burst3 mgun_burst2
NARI_BASE0 plats/platstop1
NARI_BASE1 plats/platmove1

// inside war
INSIDE_WAR0 ambience/(v40) mgun_burst1 mgun_burst2 mgun_burst3
INSIDE_WAR1 ambience/(v50) rifle2
INSIDE_WAR2 ambience/(v60) mgun_burst2 mgun_burst4
INSIDE_WAR3 ambience/(v30) biggun2
INSIDE_WAR4 hgrunt/(v70) gr_alert1
INSIDE_WAR5 hgrunt/(v50) gr_idle3
INSIDE_WAR6 weapons/(v45) 357_shot1
INSIDE_WAR7 weapons/(v30) explode4
INSIDE_WAR8 weapons/(v35) explode5

NEAR_MOP1 barnacle/(v50) bcl_chew2 bcl_chew1
NEAR_MOP2 tentacle/(v45) te_move2 te_move1
NEAR_MOP3 tentacle/(v30) te_sing1
NEAR_MOP4 garg/(v40) gar_step1 gar_step2 gar_step1 gar_step2
NEAR_MOP5 aslave/(v60) slv_word6 slv_word7
NEAR_MOP6 agrunt/(v40) ag_attack3
NEAR_MOP7 gonarch/(v40) gon_childdie1 gon_childdie2
NEAR_MOP8 garg/(v45) gar_breathe1
NEAR_MOP9 garg/(v45) gar_breathe2
NEAR_MOP10 garg/(v50) gar_idle2 gar_idle4
NEAR_MOP11 hgrunt/(v60) gr_alert1 gr_idle3




// alien slave
SLV_IDLE0 aslave/slv_word1 slv_word2
SLV_IDLE1 aslave/slv_word2 slv_word3(p95)
SLV_IDLE2 aslave/slv_word3 slv_word4
SLV_IDLE3 aslave/slv_word4 slv_word5 slv_word5(p90)
SLV_IDLE4 aslave/slv_word2(p110) slv_word6 slv_word7 slv_word3
SLV_IDLE5 aslave/slv_word6 slv_word7 slv_word2
SLV_IDLE6 aslave/slv_word7 slv_word8 slv_word3
SLV_IDLE7 aslave/slv_word8 slv_word1 slv_word8 slv_word8(p95)
SLV_IDLE8 aslave/slv_word1(p115) slv_word6
SLV_IDLE9 aslave/slv_word3 slv_word3(p90)
